id,name,game,round,boardPosition
15229,I'M HUNGARIAN,1166,1,4
15230,ALL THE KING'S MEN,1171,1,2
15231,SCHWARZENEGGER FILMS,1169,1,3
15232,COMEDIE &amp; TRAGEDIE FRANCAISE,1173,1,2
15233,FUN WITH OPERA,1170,1,2
15234,LET'S EAT,1166,1,5
15235,YOGA,1174,1,2
15236,HANG A &quot;UE&quot;,1168,1,2
15237,ASTRONOMY,1175,1,1
15238,ALL ABOUT EVES,1171,1,3
15239,CASTLES,1166,2,0
15240,THE SPOOKY &amp; THE MYSTERIOUS,1167,1,3
15241,SHOWBIZ FAMILIES,1172,1,2
15242,THE MAJESTIC EAGLE,1176,0,0
15243,EDIBLE RHYME TIME,1173,1,3
15244,&quot;U&quot;-ENDING CREATURES,1174,1,3
15245,THE CHESS CLUB,1169,1,4
15246,BELCHING,1175,1,2
15247,7,1170,1,3
15248,TRAVEL &amp; TOURISM,1167,1,4
15249,AN AMERICAN IN PARIS,1171,1,4
15250,MEAT &amp; POTATOES,1168,1,3
15251,TALES OF E.T.A. HOFFMANN,1174,1,4
15252,PRESIDENTIAL FIRSTS,1176,0,1
15253,STUFF,1172,1,3
15254,ESTIMATED PROPHET,1173,1,4
15255,THE SMITHSONIAN,1175,1,3
15256,FILMS OF THE '90s,1170,1,4
15257,GET SOME SUN,1169,1,5
15258,QUOTATIONS,1167,1,5
15259,HIT TUNES,1176,0,2
15260,3-LETTER WORDS,1174,1,5
15261,GENUS I.Q.,1168,1,4
15262,&quot;GG&quot;,1171,1,5
15263,WE NEED THE MONEY,1173,1,5
15264,FAMOUS TEENAGERS,1167,2,0
15265,HISTORIC AMERICANS,1175,1,4
15266,&quot;CROSS&quot;TALK,1170,1,5
15267,FAMOUS AMERICANS,1169,2,0
15268,AMERICAN LIT,1172,1,4
15269,LITERATURE,1171,2,0
15270,"&quot;RED&quot;, &quot;WHITE&quot; &amp; &quot;BLUE&quot;",1176,0,3
15271,THE ORIENT EXPRESS,1168,1,5
15272,SALLY GOES TO SPACE CAMP,1177,0,0
15273,HISTORICAL TERMS,1173,2,0
15274,NATIONAL CAPITALS,1174,2,0
15275,BIBLICAL PEOPLE,1176,0,4
15276,CELEBRITY RHYME TIME,1175,1,5
15277,AT THE KENNEDY CENTER,1178,0,0
15278,YOU'RE HISTORY!,1180,0,0
15279,1997 MOVIE AD LINES,1177,0,1
15280,BRITISH ROYALTY,1168,2,0
15281,TV FRIENDS,1181,0,0
15282,a little lit,1179,0,0
15283,&quot;END&quot; AT THE BEGINNING,1172,1,5
15284,PLAY THIS,1180,0,1
15285,AMERICAN LITERATURE,1170,2,0
15286,IN THE NEWS,1182,0,0
15287,18th CENTURY IN THE NEWS,1175,2,0
15288,THEME PARK FUN,1177,0,2
15289,HISTORIC NAMES,1172,2,0
15290,JUST SAY YES,1176,0,5
15291,FRUITS &amp; NUTS,1181,0,1
15292,&quot;JERK&quot;s,1183,0,0
15293,mini-mountains,1179,0,1
15294,POP MUSIC,1182,0,1
15295,FICTIONAL CHARACTERS,1184,0,0
15296,CONVENTION-AL WISDOM,1185,0,0
15297,COOKING CLASS,1180,0,2
15298,NATIONAL MONUMENTS,1178,0,1
15299,ON YOUR TOES,1176,1,0
15300,WHEN THEY WERE TEENAGERS,1177,0,3
15301,COMPUTERESE,1181,0,2
15302,wee folk,1179,0,2
15303,THE INTERNET,1182,0,2
15304,WOMEN IN HISTORY,1183,0,1
15305,ADVENTUROUS TOURISM,1180,0,3
15306,STATE GOVERNORS,1182,0,3
15307,KID'S TOUGH,1184,0,1
15308,OUR NATION'S CAPITAL,1176,1,1
15309,LA LA,1185,0,1
15310,&quot;PICK&quot; ME!,1177,0,4
15311,POTPOURRI,1180,0,4
15312,THE CIRCUS,1178,0,2
15313,ARLINGTON NATIONAL CEMETERY,1181,0,3
15314,it's microscopic,1179,0,3
15315,"CANADA, MEXICO OR THE U.S.",1184,0,2
15316,LET'S CELEBRATE!,1182,0,4
15317,HIGH SCHOOL ORIENTATION,1176,1,2
15318,REALLY BUSY AIRPORTS,1185,0,2
15319,PHYS ED,1184,0,3
15320,the small screen,1179,0,4
15321,OUT THERE SPORTS,1183,0,2
15322,WHAT PLANET ARE YOU FROM?,1184,0,4
15323,ON THE FLY,1185,0,3
15324,MY MOM'S AN ATTORNEY,1176,1,3
15325,DON'T PICK ME!,1177,0,5
15326,MATH,1180,0,5
15327,RAILROAD TIES,1181,0,4
15328,COMPOUND WORDS,1184,0,5
15329,ON THE RADIO,1178,0,3
15330,I SENTENCE YOU,1182,0,5
15331,BUFFY THE VAMPIRE SLAYER,1177,1,0
15332,LET'S CELEBRATE!,1176,1,4
15333,&quot;TRUE&quot; OR &quot;FALSE&quot;,1181,0,5
15334,LITERARY CLASSICS,1180,1,0
15335,&quot;short&quot; stuff,1179,0,5
15336,THEY'VE BEEN IN YOUR DEN,1185,0,4
15337,PEOPLE EAT THAT?,1183,0,3
15338,CELEB STUFF,1178,0,4
15339,SPORTS ZONE,1180,1,1
15340,RELIGION,1184,1,0
15341,JUST SAY &quot;NO&quot;,1176,1,5
15342,YOUNG PEOPLE WHO MADE A DIFFERENCE,1182,1,0
15343,TERMS OF ENDEARMENT,1185,0,5
15344,COMMON BONDS,1178,0,5
15345,MOVIE DEBUTS,1181,1,0
15346,SUPER ATHLETES,1179,1,0
15347,BLACK AMERICANS,1177,1,1
15348,COOL MOVIES,1182,1,1
15349,"LIGHTS, CAMERA, KIDS",1184,1,1
15350,TONGUE TWISTERS,1183,0,4
15351,MALTA BOUND,1185,1,0
15352,CLASS FIELD TRIP,1180,1,2
15353,TOYS,1176,2,0
15354,COLONISTS,1181,1,1
15355,THE OBLIGATORY POETRY CATEGORY,1178,1,0
15356,THE HARRY POTTER BOOKS,1182,1,2
15357,THE FATHER OF HIS COUNTRY,1186,0,0
15358,BRAIN FREEZE!,1183,0,5
15359,MS. PLUMLY'S COMPOSITION CLASS,1179,1,1
15360,COUNTRY STARS,1185,1,1
15361,&quot;A&quot; IN GEOGRAPHY,1184,1,2
15362,WORLD LEADERS,1180,1,3
15363,ART,1178,1,1
15364,SHAKESPEARE,1177,1,2
15365,MODELS,1181,1,2
15366,FROM A TO Y,1179,1,2
15367,NO LONGER AN OLYMPIC SPORT,1186,0,1
15368,-OLOGIES,1180,1,4
15369,LOOK WHO'S TALKING,1185,1,2
15370,NAME THAT COUNTRY,1183,1,0
15371,"MOM, I WANT I WANT I WANT!!",1182,1,3
15372,MUSIC APPRECIATION,1177,1,3
15373,THE REDCOATS ARE COMING!,1178,1,2
15374,FAMILY VALUES,1181,1,3
15375,PRESIDENTIAL FAMILIES,1184,1,3
15376,STARTS WITH &quot;J&quot;,1180,1,5
15377,TREE VERBS,1177,1,4
15378,STATE PARKS,1185,1,3
15379,ICE CREAM,1182,1,4
15380,ON A PIZZA,1179,1,3
15381,&quot;HIGH&quot; SCHOOL,1178,1,3
15382,LET'S GET GRAPHIC,1186,0,2
15383,FAMILIAR PHRASES,1183,1,1
15384,seventeen.,1177,1,5
15385,NOTORIOUS,1185,1,4
15386,YOU'RE ALL WET!,1181,1,4
15387,THE SPACE SHUTTLE,1180,2,0
15388,I WANNA BE...,1184,1,4
15389,THAT'S MISTER TO YOU,1186,0,3
15390,LONG AGO,1179,1,4
15391,HISTORIC HEARTTHROBS,1183,1,2
15392,&quot;KID&quot;s RULE!,1182,1,5
15393,WOMEN AUTHORS,1177,2,0
15394,GOIN' &quot;PRO&quot;,1185,1,5
15395,STATE CAPITALS,1182,2,0
15396,KID LIT,1187,0,0
15397,OFF TO A GOOD START,1178,1,4
15398,FAR AWAY,1179,1,5
15399,BIBLE HEROES,1188,0,0
15400,WORD ORIGINS,1181,1,5
15401,TEENS ON FILM,1183,1,3
15402,7-LETTER WORDS,1184,1,5
15403,WHAT A TOOL,1186,0,4
15404,MUSICAL INSTRUMENT ORIGINS,1189,0,0
15405,FILMS &amp; AUTHORS,1185,2,0
15406,CARTOON CHARACTERS,1179,2,0
15407,WHITE WINE,1189,0,1
15408,DISNEY CHANNEL,1187,0,1
15409,MUSIC TO YOUR EARS,1188,0,1
15410,CHILDREN'S LIT,1184,2,0
15411,COLLEGE MASCOTS,1178,1,5
15412,LITERARY ANIMALS,1191,0,0
15413,MISS AMERICA,1190,0,0
15414,SHOPPING U.S.A.,1181,2,0
15415,YOU COULD PUT OUT AN &quot;I&quot;,1186,0,5
15416,FIRST MAN IN SPACE FROM...,1189,0,2
15417,"NUMBER, PLEASE",1187,0,2
15418,THE BODY HUMAN,1183,1,4
15419,PEN NAMES,1192,0,0
15420,LET'S PLAY A GAME!,1188,0,2
15421,THE CONSTITUTION,1178,2,0
15422,TV OR NOT TV,1189,0,3
15423,FILM NOIR,1193,0,0
15424,YOU'RE TOYING WITH ME,1190,0,1
15425,THE COUNTRY OF HIS FATHER,1186,1,0
15426,GEOMETRY,1192,0,1
15427,THE FIRST PERSON,1194,0,0
15428,CAR REPAIR 101,1191,0,1
15429,WHALE OF FORTUNE,1189,0,4
15430,LITTLE-HEARD LAST NAMES,1190,0,2
15431,B SILENT,1183,1,5
15432,INVENTORS &amp; INVENTIONS,1188,0,3
15433,JEWELRY,1187,0,3
15434,DECODE THE POSTAL CODES,1194,0,1
15435,ANIMAL YOUNG 'UNS,1193,0,1
15436,MAY,1190,0,3
15437,&quot;GEO&quot; PARTY!,1189,0,5
15438,WORLD LITERATURE,1186,1,1
15439,HOLIDAYS,1183,2,0
15440,BASKETBALL,1192,0,2
15441,EAT WELL,1188,0,4
15442,PRESIDENTIAL VPs,1191,0,2
15443,TOUGH ISLANDS,1189,1,0
15444,&quot;F&quot; IN GEOGRAPHY,1193,0,2
15445,WOMEN,1186,1,2
15446,BEEKEEPING,1187,0,4
15447,HITMEN,1194,0,2
15448,PRICELINE,1195,0,0
15449,THE FORCE,1190,0,4
15450,RHYMES WITH MONEY,1188,0,5
15451,TONY WINNERS OF THE '40s,1189,1,1
15452,THE WOMEN OF BAYWATCH,1191,0,3
15453,COMING TO A CLOTHES,1193,0,3
15454,THE SILVER SCREEN,1186,1,3
15455,TAKE ME TO THE PILOT,1194,0,3
15456,AMAZON,1195,0,1
15457,ASIAN BODIES OF WATER,1188,1,0
15458,CLASSIC LOGOS,1192,0,3
15459,COLORFUL LANGUAGE,1187,0,5
15460,DIFFERENT STROKES,1191,0,4
15461,PEOPLE IN HISTORY,1189,1,2
15462,BIBLICAL PEOPLE,1186,1,4
15463,&quot;B&quot; WITH &quot;U&quot;,1190,0,5
15464,CELEBS,1188,1,1
15465,CONVERSIONS,1194,0,4
15466,&quot;WILL&quot; OF THE PEOPLE,1191,0,5
15467,OUR FOUNDING FATHERS,1187,1,0
15468,Y TO K,1193,0,4
15469,LAS VEGAS HISTORY,1192,0,4
15470,REAL AUDIO,1195,0,2
15471,CLASSICAL MUSIC,1190,1,0
15472,AMERICAN HISTORY,1188,1,2
15473,PACKAGING,1189,1,3
15474,BURLAP TO CHARM,1194,0,5
15475,FROM &quot;C&quot; TO SHINING &quot;C&quot;,1186,1,5
15476,I WON,1195,0,3
15477,"LITERATURE, JERRY SPRINGER-STYLE",1193,0,5
15478,KEMAL ATATURK,1191,1,0
15479,&quot;D&quot; DAY,1192,0,5
15480,STATUES,1188,1,3
15481,ANIMATED MOVIES,1187,1,1
15482,THE FUNNIES,1190,1,1
15483,THE FIRST PERSON,1194,1,0
15484,THE ONION,1195,0,4
15485,COUNTRIES BY NEWSPAPER,1188,1,4
15486,MAY FLOWERS,1191,1,1
15487,CHARACTER REFERENCE,1189,1,4
15488,FILM RENOIR,1193,1,0
15489,&quot;E&quot; BAY,1195,0,5
15490,WORD UP!,1188,1,5
15491,U.S. MILITARY MATTERS,1186,2,0
15492,PEN NAMES,1192,1,0
15493,ISLAMIC CLUES &quot;K&quot;,1189,1,5
15494,IT BORDERS BOTH,1190,1,2
15495,ITALIAN CITIES,1191,1,2
15496,SEEMS LIKE ANCIENT TIMES,1193,1,1
15497,A LITERARY TOUR,1196,0,0
15498,PROFESSIONAL SPORTS,1189,2,0
15499,NAME THAT COUNTRY,1187,1,2
15500,ARTISTS &amp; THEIR WORKS,1195,1,0
15501,LANDMARKS,1188,2,0
15502,BILLY WILDER FILMS,1192,1,1
15503,FUN WITH COLORS,1191,1,3
15504,1945,1197,0,0
15505,COLORFUL GROUPS,1196,0,1
15506,THE FILM VAULT,1195,1,1
15507,FLYING MANEUVERS,1190,1,3
15508,I'M BORED,1187,1,3
15509,EUROPE,1194,1,1
15510,CLUBS &amp; ORGANIZATIONS,1193,1,2
15511,ROCKIN' T-SHIRTS,1197,0,1
15512,RELIGION IN ART,1198,0,0
15513,UNFORESEEN FINDS,1196,0,2
15514,MAMMALS,1192,1,2
15515,DIONNE WARWICK,1191,1,4
15516,BEST ADAPTED SCREENPLAY,1194,1,2
15517,SNACK ATTACK,1187,1,4
15518,DEAR JOHN,1195,1,2
15519,WHAT'S FALLING?,1197,0,2
15520,AFRICAN-AMERICAN LIT,1190,1,4
15521,MEDICAL EDUCATION,1193,1,3
15522,WOMEN SINGERS,1198,0,1
15523,STOCK INDICES,1192,1,3
15524,THE TITANIC,1196,0,3
15525,PHONETICS,1191,1,5
15526,HOW TO SAY YES!,1190,1,5
15527,&quot;Y&quot; END IT?,1187,1,5
15528,CRAGS LIST,1197,0,3
15529,AUTHOR! AUTHOR!,1195,1,3
15530,LABOR,1198,0,2
15531,BIRDS,1194,1,3
15532,STATES' MEN,1193,1,4
15533,RECENT EVENTS,1187,2,0
15534,WHAT'S THAT SOUND?,1196,0,4
15535,HEALTH &amp; MEDICINE,1191,2,0
15536,GREASY SPOON PHRASE BOOK,1195,1,4
15537,EUROPEAN COUNTRIES,1199,0,0
15538,HEAD FOR THE HILLS!,1192,1,4
15539,IT'S ALL POLITICS,1194,1,4
15540,2000 PRESIDENTIAL HOPEFULS,1190,2,0
15541,CAPITALS AT STATEHOOD,1198,0,3
15542,SPACE EXPLORATION,1200,0,0
15543,POLITICAL CARICATURES,1197,0,4
15544,BEFORE &amp; AFTER,1193,1,5
15545,FILL 'ER UP?,1195,1,5
15546,FAMOUS AMERICANS,1193,2,0
15547,STARTING HERE,1201,0,0
15548,STARTS WITH &quot;S&quot;,1194,1,5
15549,3-LETTER WORDS,1192,1,5
15550,ONE-WORD MOVIE TITLES,1199,0,1
15551,&quot;B&quot; PREPARED,1196,0,5
15552,U.S. RIVERS,1202,0,0
15553,LET'S PLAY POST OFFICE,1198,0,4
15554,TELEVISION,1195,2,0
15555,HOLLYWOOD WALK OF FAME,1201,0,1
15556,THE OSCARS,1200,0,1
15557,CHILDREN'S LITERATURE,1194,2,0
15558,ASK &quot;Y&quot;,1197,0,5
15559,PEOPLE IN SPACE,1203,0,0
15560,CAESAR,1196,1,0
15561,AFTER THE PRESIDENCY,1192,2,0
15562,I'D RATHER &quot;NOT&quot;,1198,0,5
15563,I AM CURIOUS: YELLOW,1199,0,2
15564,THE HISTORY CHANNEL,1204,0,0
15565,NUTS!,1201,0,2
15566,BREAST CANCER SURVIVORS,1200,0,2
15567,EARLS,1205,0,0
15568,"HAIL, HAIL ROCK 'N' ROLL",1203,0,1
15569,EGYPTIAN HISTORY,1198,1,0
15570,YOUNG STARS,1202,0,1
15571,COMPOSERS,1197,1,0
15572,&quot;TILE&quot; IT,1201,0,3
15573,SPORTS LEGENDS,1204,0,1
15574,NEWMAN'S OWN,1196,1,1
15575,BOGIE &amp; BACALL SPEAK!,1198,1,1
15576,FACES OF AMERICA,1199,0,3
15577,THE INTERNET,1203,0,2
15578,COUNTRIES' HIGHEST POINTS,1200,0,3
15579,SECRET SOCIETIES,1202,0,2
15580,NAME THE PLAYWRIGHT,1205,0,1
15581,"HU, WATT, WARE, NGUYEN &amp; WYE",1198,1,2
15582,"FRANCO, MY DEAR",1201,0,4
15583,ADJECTIVES IN NATURE,1204,0,2
15584,CATALINA,1196,1,2
15585,SPORTS STARS,1197,1,1
15586,&quot;D&quot;-VIDE,1199,0,4
15587,STUPID ANSWERS,1200,0,4
15588,IF I HAD A HAMMER,1202,0,3
15589,FOOD &amp; DRINK,1203,0,3
15590,THE GONE WITH THE WIND MOVIE MUSEUM,1204,0,3
15591,THE ALIENS ARE HERE!,1198,1,3
15592,FANDEMONIUM,1205,0,2
15593,COMPUTER SPEAK,1200,0,5
15594,CONQUER,1199,0,5
15595,I DON'T GIVE A DAM,1201,0,5
15596,CRAFT,1196,1,3
15597,SCANDALOUS WOMEN,1203,0,4
15598,FOREWORDS,1204,0,4
15599,FORTUNE 500 COMPANIES,1205,0,3
15600,AIRPORT CODES,1202,0,4
15601,SCIENCE STUFF,1198,1,4
15602,THE &quot;GOOD&quot; BOOK,1201,1,0
15603,DEM BONES,1197,1,2
15604,SYMBOLS IN ART,1200,1,0
15605,LETTER AFTER K,1203,0,5
15606,ITALIAN,1196,1,4
15607,PHYSICAL SCIENCE,1199,1,0
15608,YOU'RE AN &quot;ANGEL&quot;!,1202,0,5
15609,MUSICALS!,1201,1,1
15610,&quot;BACK&quot; WORDS,1204,0,5
15611,ON THE &quot;GOO&quot;,1198,1,5
15612,POP CULTURE QUOTES,1200,1,1
15613,THE ABCs OF THE CDC,1205,0,4
15614,AUTHORS' RHYME TIME,1197,1,3
15615,PEOPLE IN SPACE FILMS,1203,1,0
15616,SONG NAMES,1199,1,1
15617,GETTING SCIENTIFIC,1201,1,2
15618,DRESSING,1196,1,5
15619,CHARACTERS IN SHAKESPEARE,1198,2,0
15620,ATALANTA,1205,0,5
15621,PENINSULAS,1203,1,1
15622,FASHION HISTORY,1200,1,2
15623,FDR,1199,1,2
15624,WHO'S AFRAID OF VIRGINIA?,1197,1,4
15625,COUNTRIES BY CAPITAL,1204,1,0
15626,AUSTRALIAN STATES,1202,1,0
15627,BIG APPLE SAUCE,1201,1,3
15628,EARLS,1205,1,0
15629,NOTED EUROPEANS,1206,0,0
15630,TOUGH STUFF,1203,1,2
15631,WHAT THE &quot;H&quot;?,1199,1,3
15632,WRITERS ON FILM,1202,1,1
15633,WORLD CAPITALS,1196,2,0
15634,WOLF,1197,1,5
15635,20th CENTURY WOMEN,1205,1,1
15636,CELEBRITY ANCESTORS,1204,1,1
15637,THE ONE &amp; ONLY,1201,1,4
15638,JANE EYRE'S WEDDING REGISTRY,1199,1,4
15639,CROSSWORD CLUES &quot;K&quot;,1200,1,3
15640,THE 18TH CENTURY,1203,1,3
15641,AT THE MOVIES,1206,0,1
15642,SIGMUND FREUD,1207,0,0
15643,FREE SPEECH,1199,1,5
15644,WORDS FOR WORDS,1204,1,2
15645,THE GLOBE THEATRE,1200,1,4
15646,THE LAW,1205,1,2
15647,TRANSPORTATION,1197,2,0
15648,PLAY STATION,1203,1,4
15649,COLLEGES &amp; UNIVERSITIES,1202,1,2
15650,THE HIGHEST-SCORING SCRABBLE WORD,1206,0,2
15651,BACKWORDS,1201,1,5
15652,CLASSIC CARTOON CHARACTERS,1199,2,0
15653,BUSINESS &amp; INDUSTRY,1201,2,0
15654,ZODIAC SYMBOLS,1204,1,3
15655,EUROPEAN HISTORY,1208,0,0
15656,BALLET,1205,1,3
15657,STATE FLAGS,1207,0,1
15658,SCIENCE,1202,1,3
15659,OCTOBERFEST,1209,0,0
15660,&quot;N&quot; '64,1203,1,5
15661,LIFE AFTER APPOMATTOX,1210,0,0
15662,GOLFERS,1208,0,1
15663,SHEIK'S PEER,1200,1,5
15664,AMERICAN COUNTIES,1206,0,3
15665,BEFORE &amp; AFTER,1202,1,4
15666,QUOTATIONS,1205,1,4
15667,HARDPODGE,1204,1,4
15668,SIX EDUCATION,1209,0,1
15669,LITERATURE,1203,2,0
15670,LETTER PERFECT,1207,0,2
15671,GONE FISSION,1208,0,2
15672,DISNEY FILM VOICES,1210,0,1
15673,DAMN YANKEES,1202,1,5
15674,MEMORIALS,1200,2,0
15675,SATURDAY,1206,0,4
15676,GEORGIA FACTS,1205,1,5
15677,COMPOUNDS IN ACTION,1211,0,0
15678,AIRLINE TRAVEL,1208,0,3
15679,ALL ABOUT THE PRESIDENCY,1204,1,5
15680,WAAAY DOWN SOUTH,1212,0,0
15681,&quot;NIGHT&quot;,1206,0,5
15682,FAMOUS WOMEN,1202,2,0
15683,YOU'VE GOT TO FIGHT,1207,0,3
15684,WORLD LANDMARKS,1205,2,0
15685,ROCK 'N' ROLL HISTORY,1211,0,1
15686,WEBSITES,1209,0,2
15687,OF BIBLICAL PROPORTIONS,1210,0,2
15688,YOU-PHEMISMS,1208,0,4
15689,SAUDI ARABIA,1213,0,0
15690,FOR YOUR RIGHT,1207,0,4
15691,FAMOUS TREATIES,1214,0,0
15692,MAIDEN NAMES,1211,0,2
15693,SHIPS,1206,1,0
15694,U.S. STATES,1204,2,0
15695,CLASSIC ROCK LYRICS,1213,0,1
15696,2 WORDS IN ONE,1209,0,3
15697,MISS MANNERS,1210,0,3
15698,TELEVISION,1212,0,1
15699,KUDZU CUISINE,1208,0,5
15700,ALBUMS,1214,0,1
15701,"BOOK 'EM, DAN-O",1211,0,3
15702,THE MUSICAL DR. IS IN,1206,1,1
15703,ANIMALS,1215,0,0
15704,TO PARTY!,1207,0,5
15705,I LOVE NY,1209,0,4
15706,TOUGH HISTORY,1212,0,2
15707,MUSIC CLASS,1210,0,4
15708,A PLAGUE ON YOU!,1208,1,0
15709,OCCUPATIONS,1213,0,2
15710,THE &quot;CAT&quot;,1211,0,4
15711,LITERARY CROSSWORD CLUES &quot;L&quot;,1206,1,2
15712,AFRICAN-AMERICAN AUTHORS,1207,1,0
15713,GEORGIA SONGS,1215,0,1
15714,THE NEW TESTAMENT,1214,0,2
15715,IT'S TIME FOR TIME,1208,1,1
15716,BACK IN THE '90s,1212,0,3
15717,ABBREVIATIONS,1210,0,5
15718,MIDDLE NAME PLEASE,1213,0,3
15719,THE CANARY,1211,0,5
15720,14:59,1206,1,3
15721,THEY HATE L.A.,1209,0,5
15722,BEGINS &amp; ENDS IN &quot;H&quot;,1215,0,2
15723,&quot;BLACK&quot; &amp; &quot;WHITE&quot; FILMS,1208,1,2
15724,SCULPTURE,1211,1,0
15725,COUNTRIES OF THE WORLD,1210,1,0
15726,THE WORLD SERIES,1207,1,1
15727,MOTION IN POETRY,1214,0,3
15728,A NOVEL CATEGORY,1212,0,4
15729,POP IN '98,1210,1,1
15730,RELIGION,1206,1,4
15731,-SCOPES,1213,0,4
15732,CHESS NUTS,1215,0,3
15733,STATE MOTTOES,1208,1,3
15734,GEORGE CLOONEY ON CELLULOID,1211,1,1
15735,20th CENTURY AUTHORS,1209,1,0
15736,THE NORTHERNMOST NATIONAL CAPITAL,1207,1,2
15737,GROUPS,1214,0,4
15738,PUT 'EM IN ORDER,1210,1,2
15739,FROM THE FRENCH,1206,1,5
15740,BRIT SPEAK,1213,0,5
15741,MUSICAL THEATRE,1209,1,1
15742,AMERICAN AUTHORS,1208,1,4
15743,NATIONAL SCENIC BYWAYS,1211,1,2
15744,NEW HAWAIIAN WORDS,1212,0,5
15745,&quot;OCK&quot;-TOBER,1214,0,5
15746,BOASTING,1215,0,4
15747,FAMOUS NAMES,1206,2,0
15748,CORPORATE LOGOS,1207,1,3
15749,OH &quot;MY&quot;,1209,1,2
15750,FAMOUS CANADIANS,1216,0,0
15751,ART &amp; ARTISTS,1213,1,0
15752,ROBERT LOUIS STEVENSON,1210,1,3
15753,NEW DEAL PROGRAMS,1214,1,0
15754,FOOD-O,1211,1,3
15755,WORDPLAY,1208,1,5
15756,JACOBEAN DRAMA,1212,1,0
15757,LAND ANIMALS,1207,1,4
15758,ELEMENTAL ETYMOLOGIES,1209,1,3
15759,10-LETTER WORDS,1216,0,1
15760,ON AN OPEN FIRE,1215,0,5
15761,TV DADS,1213,1,1
15762,A STOCKPILE,1214,1,1
15763,19th CENTURY PERSONALITIES,1208,2,0
15764,HISTORICAL MEN &amp; WOMEN,1211,1,4
15765,&quot;AA&quot;,1210,1,4
15766,NEWSPAPERS,1209,1,4
15767,&quot;JOHN&quot;s,1207,1,5
15768,COCA-COLA,1212,1,1
15769,DRUNK ON SHAKESPEARE,1213,1,2
15770,THE '70s,1216,0,2
15771,SOUTHERN LIT,1215,1,0
15772,EPONYMOUS SCIENCE,1214,1,2
15773,PHYSICAL SCIENCE,1217,0,0
15774,NATIONAL SPELLING BEE WINNING WORDS,1211,1,5
15775,BATTERIES,1210,1,5
15776,IN THE HEADLINES,1209,1,5
15777,THE JEOPARDY! SWIMSUIT CALENDAR,1213,1,3
15778,RELIGIOUS HISTORY,1211,2,0
15779,MATH WORDS,1207,2,0
15780,HE DIRECTED THAT?,1215,1,1
15781,ALPHABETICALLY LAST,1216,0,3
15782,ADD A LETTER,1214,1,3
15783,THE 50 STATES,1209,2,0
15784,HOLIDAYS &amp; OBSERVANCES,1212,1,2
15785,U.N. SECRETARIES-GENERAL,1217,0,1
15786,THE TITANIC,1210,2,0
15787,INAUGURAL ADDRESSES,1218,0,0
15788,THE MEDIEVAL DAILY NEWS,1219,0,0
15789,PUT OUT THE CHINA,1216,0,4
15790,COUNTRIES OF THE WORLD,1215,1,2
15791,AMERICANA,1220,0,0
15792,FAMOUS PAINTINGS,1221,0,0
15793,LEATHER,1213,1,4
15794,MY NAME IS ALFRED,1214,1,4
15795,WOMEN,1212,1,3
15796,FOOD STUFF,1216,0,5
15797,NHL LOGOS,1219,0,1
15798,NEW GAME SHOWS?,1218,0,1
15799,I SENSE A THEME,1215,1,3
15800,&quot;G&quot; FORCE,1213,1,5
15801,I GO BY &quot;AL&quot;,1214,1,5
15802,CHARACTERS IN MUSICALS,1217,0,2
15803,HAIL TO THE CHIEF,1216,1,0
15804,SPORTS SUPERSTARS,1220,0,1
15805,IDAHO'S GLORIOUS PAST,1219,0,2
15806,NATIONAL HISTORIC LANDMARKS,1212,1,4
15807,CLASSIC TV SHOWS BY CHARACTERS,1221,0,1
15808,ANATOMY,1218,0,2
15809,MUSIC APPRECIATION,1215,1,4
15810,THOSE WACKY CANADIANS,1217,0,3
15811,THE ANIMAL KINGDOM,1221,0,2
15812,THE 1850s,1214,2,0
15813,ASIAN-AMERICAN ACHIEVERS,1219,0,3
15814,MOVIE VILLAINS,1213,2,0
15815,&quot;B&quot; ACTORS,1216,1,1
15816,QUASI-RELATED PAIRS,1212,1,5
15817,"SMITH, JOHN SMITH",1220,0,2
15818,CROSSWORD CLUES &quot;S&quot;,1217,0,4
15819,FIRST NOVELS,1222,0,0
15820,AROUND THE USA,1223,0,0
15821,TRANSPORTATION,1221,0,3
15822,MATH VOCABULARY,1215,1,5
15823,PRETTY BIRDIES,1219,0,4
15824,U.S. STAMPS,1218,0,3
15825,CULINARY COMMON BONDS,1220,0,3
15826,TEA TIME,1217,0,5
15827,VOCABULARY,1218,0,4
15828,CHIEF JUSTICES OF THE U.S.,1212,2,0
15829,WORD ORIGINS,1215,2,0
15830,&quot;ICK&quot;Y WORDS,1219,0,5
15831,THE NASTY CRITIC REVIEWS THE 19th CENTURY,1216,1,2
15832,5-LETTER WORDS,1221,0,4
15833,CLASSIC AD LINES,1222,0,1
15834,CONTAINERS,1223,0,1
15835,U.S.A.,1224,0,0
15836,STATE BORDERS,1217,1,0
15837,CRACKERS,1218,0,5
15838,TECH TONIC,1216,1,3
15839,THE BODY HUMAN,1225,0,0
15840,BEADS,1220,0,4
15841,COUNTRIES IN SPANISH,1219,1,0
15842,LESSER-KNOWN MUSICALS,1222,0,2
15843,TELL IT TO THE MARINES,1221,0,5
15844,20th CENTURY SPORTS,1224,0,1
15845,ACTRESSES ON TELEVISION,1219,1,1
15846,TV CATCHPHRASES,1223,0,2
15847,ANTHOLOGIES,1219,1,2
15848,INTELLIGENT FILMS,1217,1,1
15849,DAVID SPADE &amp; NEUTERED,1225,0,1
